text,expected,predicted,latency_sec
set an alarm for my meeting and another for my phone call,alarm,alarm,0.345
i need an alarm for 6am,alarm,alarm,0.338
can you set up alarms for one in the afternoon and ten at night,alarm,alarm,0.424
set my alarm for 6am tomorrow,alarm,alarm,0.378
please create a new alarm for me,alarm,alarm,0.643
i want an alarm for 6 am,alarm,alarm,0.86
can you set alarm for me,alarm,alarm,1.929
i'd love to set an alarm,alarm,alarm,1.455
help me wake up with an alarm at 5:30am,alarm,alarm,0.663
please make sure the alarm is set,alarm,alarm,0.518
i want to be woken up at 9 tomorrow,alarm,alarm,0.387
create an alarm for me,alarm,alarm,0.337
"at 9 tomorrow, set off the alarm",alarm,alarm,1.005
set my alarm for quarter after six tomorrow,alarm,alarm,0.468
can you set an alarm,alarm,alarm,0.342
set an alarm for 05:00 and one for 16:00,alarm,alarm,0.351
make an alarm for one and two in the morning,alarm,alarm,0.613
could you set the alarm,alarm,alarm,5.733
can i turn on the alarm now,alarm,alarm,0.375
please set an alarm for mid day,alarm,alarm,3.154
make up a new alarm,alarm,alarm,3.562
how is my application on new credit card going,application_status,application_status,0.336
when will my credit card app be approved,application_status,application_status,0.356
has my card application successfully gone through,application_status,application_status,0.376
has my application for discover card gone through yet,application_status,application_status,0.579
what is the present status of my credit card application,application_status,application_status,0.359
in what status is my credit card application,application_status,application_status,0.759
has my mastercard application gone through the process,application_status,application_status,0.543
what is the status of my new credit card application,application_status,application_status,0.389
how far along is my credit card application,application_status,application_status,0.446
did my visa card app go through yet,application_status,application_status,0.338
do you know what the latest is with my credit card application,application_status,application_status,0.422
what is the status of my application for the credit card,application_status,application_status,0.736
i filed a credit card application so what is going on with it,application_status,application_status,0.491
when will my credit card application be reviewed,application_status,application_status,0.359
has my credit card application been approved yet,application_status,application_status,0.367
please tell me if my application for the hsbc card has gone through yet,application_status,application_status,2.314
how can i track the progress of my credit card application,application_status,application_status,0.338
"i applied for the credit card, have you processed my application",application_status,application_status,1.604
can you please let me know the status of my capital one application,application_status,application_status,0.374
tell me straight if it has been processed or not,application_status,application_status,1.172
has my application for my visa card gone through,application_status,application_status,0.723
can you let me know if my visa card has been approved,application_status,application_status,0.404
tell me a little more about the status of my credit card application,application_status,application_status,0.395
tell me about my american express application; did it go through,application_status,application_status,0.334
do you know if my amex card app went through,application_status,application_status,0.479
i need to know if the application been processed,application_status,application_status,0.4
did my chase card application go through yet,application_status,application_status,0.728
when will my application for my credit card be processed,application_status,application_status,0.398
check the status of my credit card application for me,application_status,application_status,0.906
can you update me on the status of my american express card application,application_status,application_status,0.397
i must know my visa card's apr,apr,apr,0.378
"what's the apr on my amex card, please",apr,apr,0.713
tell me my apr rate,apr,apr,0.361
what kind of credit card apr do i get,apr,apr,0.431
tell me how the apr on my hy-vee card is,apr,apr,0.347
"on my citi card, the one that ends 1234, what's the apr",apr,apr,0.426
what is my b of a credit card's apr,apr,apr,1.522
can you tell me the status of my card's apr,apr,apr,0.336
tell me how good the apr is on my card please,apr,apr,2.112
tell me the apr on my mastercard,apr,apr,0.362
how does my card's apr compare to others,apr,apr,0.659
tell me my chase credit card's apr,apr,apr,0.383
what is my apr for my credit card,apr,apr,0.716
what is my card's apr,apr,apr,0.733
"on my wells fargo mastercard, what is the current apr",apr,apr,0.38
what is the apr on my first bank card account,apr,apr,0.902
"on my bank of america visa, what is the apr",apr,apr,2.506
is my apr rate better than most,apr,apr,0.353
is my apr high,apr,apr,1.761
what's the apr on my amex card,apr,apr,1.232
is my visa card's apr decent,apr,apr,0.379
is the apr rate on my amex pretty good,apr,apr,0.341
what apr do i have with my credit card,apr,apr,0.369
has the apr on my card changed and what is it now,apr,apr,1.156
what is the credit card apr if you could fill me in,apr,apr,0.363
can you look into whether my card has good apr or not,apr,apr,0.379
what is my apr,apr,apr,0.371
what's the apr on my credit card,apr,apr,0.346
what's my apr on my discovery card,apr,apr,0.351
i want to know the apr on my capital one card,apr,apr,0.347
tell me if you are a person or ai,are_you_a_bot,are_you_a_bot,0.514
i want to know if you are a real person or an ai,are_you_a_bot,are_you_a_bot,0.511
do you consider yourself a bot,are_you_a_bot,are_you_a_bot,0.365
i want to know if your a bot,are_you_a_bot,are_you_a_bot,0.455
are you a bot or a person,are_you_a_bot,are_you_a_bot,1.119
please specify if you are human or computer,are_you_a_bot,are_you_a_bot,0.433
are you an actual human,are_you_a_bot,are_you_a_bot,0.38
so are you a real person,are_you_a_bot,are_you_a_bot,0.377
are you a real person or an ai,are_you_a_bot,are_you_a_bot,1.14
i think you are a bot,are_you_a_bot,are_you_a_bot,0.522
i need to know whether you are a human or are a computer,are_you_a_bot,are_you_a_bot,0.434
are you real or a computer,are_you_a_bot,are_you_a_bot,0.453
are you real or are you an ai,are_you_a_bot,are_you_a_bot,1.783
are you a live person or a computer,are_you_a_bot,are_you_a_bot,0.393
provide me with the knowledge of whether you are a human or are a computer,are_you_a_bot,are_you_a_bot,3.358
how real are you,are_you_a_bot,are_you_a_bot,0.867
"clear something up, are you a robot",are_you_a_bot,are_you_a_bot,2.074
let me know if you are a human or are a computer,are_you_a_bot,are_you_a_bot,0.435
are you a computer generated voice,are_you_a_bot,are_you_a_bot,2.5
please tell me if you are a bot,are_you_a_bot,are_you_a_bot,0.491
are you human or a bot,are_you_a_bot,are_you_a_bot,1.256
"what are you, a bot or human",are_you_a_bot,are_you_a_bot,0.41
would it be accurate to call you a bot,are_you_a_bot,are_you_a_bot,0.772
are you actually a person,are_you_a_bot,are_you_a_bot,1.18
is it true your a real person,are_you_a_bot,are_you_a_bot,0.357
could you be a person,are_you_a_bot,are_you_a_bot,0.508
would you call yourself a human or a computer,are_you_a_bot,are_you_a_bot,0.414
are you an automated assistance,are_you_a_bot,are_you_a_bot,1.825
am i talking to a person or a bot,are_you_a_bot,are_you_a_bot,0.47
am i talking with a real person,are_you_a_bot,are_you_a_bot,0.758
what are my coffers at,balance,balance,1.238
how much money do i have in my pnc account,balance,balance,0.835
how much cash do i have in my various bank accounts,balance,balance,0.482
what is my checking account balance at chase,balance,balance,0.369
what is the total of my bank accounts,balance,balance,0.544
how much do i have in my checking,balance,balance,0.908
how much cash do i have in my bank accounts,balance,balance,0.691
i need to know how much money i have in all of my bank accounts,balance,balance,0.361
could be there be a good amount of money in my checking account to go on a vacation,balance,balance,0.357
what is status of my bank account,balance,account_blocked,0.434
what is the balance of my bank accounts,balance,balance,0.368
how much money is there in my bank accounts,balance,balance,0.394
can you tell me how much money i have i my bank accounts,balance,balance,0.329
do i have any cash left,balance,balance,0.384
tell me the current balance of my bank accounts,balance,balance,0.886
how much do i have in savings,balance,balance,0.908
could you tell me what my checking account balance is,balance,balance,2.208
i am not sure if i have enough money in my chase account to buy a new dress,balance,balance,0.675
how much dough do i have in my bank accounts,balance,balance,0.742
tell me what i have in my money market account,balance,balance,0.798
what is my bank balance,balance,balance,0.539
tell me the current account balance,balance,balance,0.369
how much do i have in my bank accounts,balance,balance,0.432
will you tell me my bank balance,balance,balance,0.357
i hope i have enough money in my chase account to buy new clothes,balance,balance,0.354
check chase bank for my checking balance,balance,balance,0.36
do you think i have enough money in my chase account for a new pair of sneakers,balance,balance,0.366
what's my current bank savings,balance,balance,0.608
can i get beer within my deposit account,balance,direct_deposit,0.913
whats the combined total of the money inside my bank accounts,balance,balance,0.364
what do i owe on telephone and cable bill,bill_balance,bill_balance,0.458
what's the amount due on my latest sprint bill,bill_balance,bill_due,2.279
how much do i have to pay on taxes and cable,bill_balance,taxes,1.022
how much do i owe on bills,bill_balance,bill_balance,0.513
tell me my water bill please,bill_balance,bill_balance,0.399
what is the electricity bill,bill_balance,bill_balance,0.835
what am i being charged for my water bill,bill_balance,bill_balance,0.379
how much is the car bill this month,bill_balance,bill_balance,0.343
tell me what is owed for my water and gas bills,bill_balance,bill_balance,0.57
how much is my current water bill for,bill_balance,bill_balance,0.416
what do i owe this month on all my bills,bill_balance,bill_due,1.722
how much is my internet bill,bill_balance,bill_balance,0.941
please let me know how much my bills for comcast and sprint total,bill_balance,bill_balance,0.606
i need to know the price of my car payment and insurance please,bill_balance,bill_balance,1.403
what is the total amount that i owe to sony and verizon,bill_balance,bill_balance,1.241
how much do i need to pay on my bills,bill_balance,bill_balance,0.332
how much do i have to pay this month,bill_balance,bill_due,0.343
tell me what amount i have to pay for my directv bill please,bill_balance,bill_balance,0.406
what's my mortgage payment going to be this month,bill_balance,bill_balance,0.371
what is the total amount i am going to have to pay in bills this month,bill_balance,bill_balance,0.326
how much is my water bill for,bill_balance,bill_balance,0.743
remind me of the invoice total for my plumbing bill,bill_balance,bill_balance,0.353
what price is my credit card and my water bill at,bill_balance,bill_balance,0.555
"i think i owe about 100 left on my bills, am i forgetting anything",bill_balance,bill_balance,0.532
what is the amount i owe to clay electric,bill_balance,bill_balance,0.454
what is the total of my repair bill,bill_balance,bill_balance,0.446
what are my bills this month,bill_balance,bill_balance,0.414
how much do i have on credit card bill,bill_balance,bill_balance,2.443
how expensive is my internet,bill_balance,bill_balance,0.379
can you tell me how much i need to pay on my bills this month,bill_balance,bill_balance,0.381
when's the next phone bill,bill_due,bill_due,0.334
i need the new due date for my pgw gas bill,bill_due,bill_due,0.519
what's the due date for my netflix subscription,bill_due,bill_due,0.359
when do i need to pay my car insurance bill by,bill_due,bill_due,0.344
what day is the bill due,bill_due,bill_due,1.115
what day do i need to pay my internet and phone bill by,bill_due,bill_due,0.347
how long do i have to pay that bill,bill_due,bill_due,0.841
what's the due date for my american express payment,bill_due,bill_due,0.383
when do i need to pay my dte energy bill,bill_due,bill_due,0.366
when is visa due,bill_due,bill_due,0.454
do i need to pay my credit card bill already,bill_due,bill_due,0.368
how do i find when my medical bill is due,bill_due,bill_due,0.466
is the bill due today,bill_due,bill_due,0.347
when's the ac bill due,bill_due,bill_due,0.316
when's the next time i have to pay the insurance,bill_due,bill_due,0.471
i would like to know when the bill is due,bill_due,bill_due,0.349
i would like to know my electric bills date it needs to be payed,bill_due,bill_due,0.493
where can i see the due date for auto loan bill,bill_due,bill_due,0.75
what's the due date for spectrum's bill,bill_due,bill_due,0.361
how do i find when my electric bill is due,bill_due,bill_due,0.409
what time do i have to pay z bill,bill_due,bill_due,0.372
i want to know when a bill is due,bill_due,bill_due,0.396
what is the exact due date for my mortgage payment,bill_due,bill_due,0.523
when is my cell phone due,bill_due,bill_due,0.373
i need to know when my electricity bill is due,bill_due,bill_due,0.659
i need to know where my due date is for my lawn bill,bill_due,bill_due,0.425
what's the ultimate day for me to pay the internet bill,bill_due,bill_due,0.777
i need to know what day i need to pay my water bill,bill_due,bill_due,0.382
tell me when my water bill is due,bill_due,bill_due,0.402
when does my gas bill need paid by,bill_due,bill_due,0.355
i need an airline ticket for a round trip flight from philadelphia to atlanta for the dates of june 5 - 8,book_flight,book_flight,0.384
"""i'm going on a flight from lax and going to phl, which is only $120 on june 15th",book_flight,book_flight,0.444
could you check and let me know roundtrip flights from dallas to houston for march 7 and march 20,book_flight,book_flight,0.455
make sure i get a delta flight from pittsburgh to arizona,book_flight,book_flight,0.384
could you make a flight reservation with air emirates from orlando to london,book_flight,book_flight,0.35
"book a flight from pensacola, fl to houston, tx on 17 february 2019 and returning on 7 march 2019",book_flight,book_flight,0.332
i need a flight from denver international to new york international round trip for the 4th though the 8th,book_flight,book_flight,0.367
i want to find a round trip flight from denver international to new york international on the 8th to the 16th,book_flight,book_flight,0.357
buy delta ticket madison to atlanta,book_flight,book_flight,0.642
i need a flight for under 300 from pittsburgh to atlanta,book_flight,book_flight,0.349
what's the cheapest fares from lax to sfo for round trip flights leaving april 1st and returning april 7th,book_flight,book_flight,0.563
i'm looking for flights that depart on the 3rd and return on z from monday to friday,book_flight,book_flight,0.827
would you give me available flights out of dallas to miami on june 8 for under $340,book_flight,book_flight,1.019
i'm looking for a back and forth flight from lax to portland for w to sunday,book_flight,book_flight,0.33
on the third i am looking for a flight for under 700 from denver international to new york international,book_flight,book_flight,0.613
"i'm looking for a roundtrip flight from oma to sps august 1st, 2019 to august 2nd, 2019",book_flight,book_flight,1.436
can i fly from atlanta to san francisco for less than 100 dollars,book_flight,book_flight,0.406
i'm striving to find a 2-way flight from jfk to dtw for w to july 3,book_flight,book_flight,0.37
"book me a flight to dallas from st, paul, minnesota on delta airlines",book_flight,book_flight,0.648
can you look for a denver international to new york international round trip flight for the 5th though 8th,book_flight,book_flight,0.562
can you find me a flight from denver international to new york international on the 4th for under 700 dollars,book_flight,book_flight,0.351
"""i'm fly out from lax to phl this weekend for around $120",book_flight,book_flight,0.426
could you get me a delta flight from sioux falls to philadelphia for under $400,book_flight,book_flight,0.36
i need to get a flight out of tampa to chicago in a month for under $123,book_flight,book_flight,0.944
i need you to get me a flight booked from houston to miami on united airlines,book_flight,book_flight,0.365
get me flight from philly to atlanta on june 5th i'm coming back june 8th,book_flight,book_flight,0.376
book a flight from denver to austin on the 16th and returning on the 20th,book_flight,book_flight,0.38
book a flight to los angeles from las vegas on american airlines,book_flight,book_flight,0.442
book me a flight from midway to jfk for less than 200 dollars,book_flight,book_flight,0.47
find me round trip flights out of lax to sfox,book_flight,book_flight,0.364
show me a hotel in boise that has positive reviews,book_hotel,restaurant_reviews,1.335
i wanna book a place to stay in phoenix from the 5th to the 9th of march,book_hotel,book_hotel,0.867
look up hotels with positive reviews in new york city,book_hotel,restaurant_reviews,0.482
show me a hotel that has good reviews in kansas city,book_hotel,restaurant_reviews,0.351
show me a well reviewed hotel in evans,book_hotel,restaurant_suggestion,0.378
i need to book a place to stay in phoenix from the 5th to the 9th of march,book_hotel,book_hotel,0.434
could you book me a hotel in afghanistan at the zoo for the 10th to the 15th,book_hotel,book_hotel,0.65
please help me book a place to stay in pittsburgh from monday to friday,book_hotel,book_hotel,0.392
i need to get a hotel in phoenix near chase field from january 4th to the 8th,book_hotel,book_hotel,0.511
by chance would it be possible to reserve me a hotel in afghanistan at the zoo for the 10th to the 15th,book_hotel,book_hotel,0.798
show me all hotels in evans with good reviews,book_hotel,restaurant_suggestion,0.985
"march 20th through the 22nd, please book me a hotel room in manhattan big enough for 10 people",book_hotel,book_hotel,0.464
i must get a hotel in phoenix near chase field from january 4th to the 8th,book_hotel,book_hotel,1.625
"please find a columbus, ohio hotel with good reviews",book_hotel,restaurant_suggestion,0.911
i need a hotel room for 4 people from may 3 to may 5 in boston,book_hotel,book_hotel,0.462
"what hotels are near, ny, ny for the 9th to 11th",book_hotel,book_hotel,0.472
"in brooklyn, i need a hotel room for 4 from 3/15 until 3/20",book_hotel,book_hotel,0.34
what hotel would you recommend in lakewood for 4 people from monday to wednesday,book_hotel,book_hotel,0.461
"please book a hotel in ny, close to brooklyn, on the 25th to 30th",book_hotel,book_hotel,0.353
find hotels in baltimore that have positive reviews,book_hotel,book_hotel,0.641
do you know of any well reviewed hotels in chicago,book_hotel,restaurant_suggestion,0.729
can you find me a hotel in columbus with good reviews,book_hotel,book_hotel,0.6
can you find me a place to stay in sacramento near the capitol on july 3-5,book_hotel,book_hotel,0.896
i need you to find me a hotel with good reviews in phoenix,book_hotel,book_hotel,0.435
is it possible to book 10 people from monday to tuesday in manhattan,book_hotel,book_hotel,1.046
please book me a place to stay in phoenix from the 5th to the 9th of march,book_hotel,book_hotel,0.349
help me book a place to stay from may 2 to may 4 in tampa,book_hotel,book_hotel,0.376
what's a good hotel to stay at in chicago,book_hotel,book_hotel,1.021
help me find a good reviews hotel in la,book_hotel,restaurant_reviews,0.426
help me find a hotel in that has good reviews in columbus,book_hotel,restaurant_reviews,0.371
"if something is 15% off $35, how much is it",calculator,calculator,0.329
what is 2+2,calculator,calculator,0.376
what is 4 x 4,calculator,calculator,0.389
help me solve this math equation,calculator,calculator,2.46
please help with my math,calculator,calculator,1.199
if i win 200000 how do i split it 7 ways,calculator,calculator,0.827
what is 400 times 2,calculator,calculator,0.591
what is the square root of 36,calculator,calculator,0.402
can you help me do math,calculator,calculator,0.364
what is 1100 minus 2347,calculator,calculator,0.36
what is the sum of 3 plus 5,calculator,calculator,0.354
can you do a math problem,calculator,calculator,0.33
what is 8 factorial,calculator,calculator,0.331
what's 15% of 68,calculator,calculator,0.63
i need to know what is 85% of $1500,calculator,calculator,0.408
can you subract 36 from 5,calculator,calculator,0.38
what is 10 to the 12th power,calculator,calculator,0.507
what is 005 percent of 1 percent,calculator,calculator,1.552
what is the square root of 144,calculator,calculator,1.221
can you divide 100 by 20,calculator,calculator,0.874
what is the derivative of x squared plus 5,calculator,definition,2.073
multiply 7 and 42,calculator,calculator,0.462
what is 7 x 7,calculator,calculator,0.611
find square root of 453,calculator,calculator,0.365
how many times does 8 go into 2000,calculator,calculator,0.376
i need to know the answer to 10000 multiplied by 44,calculator,calculator,3.629
how do i ask the ai to help me with math problem,calculator,calculator,0.379
tell me the answer to 1000 divided by 40,calculator,calculator,1.536
what is 89 divided by 3,calculator,calculator,0.339
what is 900 times 8,calculator,calculator,0.779
is the marathon on friday added to my calendar,calendar,calendar_update,3.556
have i gotten around to adding the bike ride to my calendar yet,calendar,calendar,1.746
what do i have going on march 2nd on my calendar,calendar,calendar,0.383
"check my calendar for me, please",calendar,calendar,0.516
do i have any appoints set for my calendar april 3rd,calendar,calendar,0.486
what appointments do i have tomorrow after 1:00pm,calendar,calendar,0.366
what is tuesday's calendar like,calendar,calendar,0.968
what is currently on my calendar for friday the 1st,calendar,calendar,0.519
are there any active events for march 4th 2019,calendar,calendar,0.447
"can you tell me what's on my calendar for march 05, 2019",calendar,calendar,0.517
what items do i have on my calendar for easter,calendar,calendar,0.321
what do i have planned for 3/5,calendar,calendar,0.871
do i have anything on my calendar next sunday,calendar,calendar,1.151
i can't remember if i added the fun run to my calendar yet; did i,calendar,calendar,1.156
do i have any appointments on my calendar march 22nd,calendar,calendar,0.775
where do i have to be on 12/03/2019,calendar,calendar,0.355
remind me of the date of the event called 'anniversary dinner,calendar,reminder,0.41
do i have anything scheduled on my calendar for next tuesday,calendar,calendar,0.342
on the 26th what is on the table for my calendar,calendar,calendar,0.328
on tuesday you are supposed to have a meeting,calendar,meeting_schedule,0.354
tell me what is showing on my calendar for the 17th of march,calendar,calendar,0.328
can you give me an overview of what march 23 will look like for me,calendar,calendar,0.371
let me know my march 2 calendar,calendar,calendar,0.333
what do i have to do on march 2 that's on my calendar,calendar,calendar,0.79
what appointments do i have on thursday the 14th,calendar,calendar,0.333
is anything happening on march 4th 2019,calendar,calendar,0.47
do i have calendar events on march 19th,calendar,calendar,0.89
read my calendar for march 7th,calendar,calendar,0.348
tell me what's on my calendar for march 22nd,calendar,calendar,0.329
what is tuesday like on my calendar,calendar,calendar,0.328
put appointment on my calendar for tomorrow,calendar_update,calendar_update,0.426
take my dinner plans off my calendar for tomorrow,calendar_update,calendar_update,0.335
i want you to add staff meeting to my calendar for march 1 at 10:00 am,calendar_update,calendar_update,0.336
delete my golf tournament event from tomrrow,calendar_update,calendar_update,0.34
remove jess's party from my calendar,calendar_update,calendar_update,0.327
cancel event scheduled for this afternoon,calendar_update,cancel,0.509
i shall remove fishing from my calendar for soccer,calendar_update,calendar_update,0.358
can you add a doctor's appointment to friday's calendar,calendar_update,calendar_update,0.329
remove celebrate anniversary from my calendar,calendar_update,calendar_update,0.349
i wanna remove fishing from my calendar for soccer,calendar_update,calendar_update,0.343
friday needs to be clear on my calendar,calendar_update,calendar_update,0.444
get rid of tuesday the 5ths dinner,calendar_update,cancel_reservation,0.418
please put annie's baby shower on march 30 in my calendar,calendar_update,calendar_update,0.352
add to friday's calendar a doctor's appointment,calendar_update,calendar_update,0.334
add a doctor's appointment to my calendar for friday,calendar_update,calendar_update,0.421
add mom's birthday to my calendar on april 12,calendar_update,calendar_update,0.342
delete all events on my calendar that have the word girlfriend in them,calendar_update,calendar_update,0.334
get rid of everything on my calendar for march 2nd,calendar_update,calendar_update,0.335
will you remove the dinner with june on saturday the 4th at 7pm from my calendar,calendar_update,calendar_update,0.414
clear my calendar for this friday,calendar_update,calendar_update,0.339
clear my calendar for november 11th,calendar_update,calendar_update,0.335
i need trip to the zoo on the calendar for june 4,calendar_update,calendar_update,3.501
"you can remove the dinner party from my calendar for january 21, 2019",calendar_update,calendar_update,0.332
i need to add iep meeting to my calendar on april 15th,calendar_update,calendar_update,0.357
"you can remove the play date from my calendar for feb 18, 2019",calendar_update,calendar_update,4.794
i need buy a birthday gift for sue taken off my calendar  it is on monday or tuesday last week,calendar_update,calendar_update,0.4
please remove lunch with sally that is on my calendar on tuesday the 8th,calendar_update,calendar_update,0.389
i need to add something to my calendar for next tuesday,calendar_update,calendar_update,0.335
"you can remove the field trip from my calendar for march 12, 2019",calendar_update,calendar_update,0.34
i want to add farm trip to my calendar for friday,calendar_update,calendar_update,0.329
what kind of calories do chicken tenders have,calories,nutrition_info,0.33
whats the calorie content of oatmeal,calories,calories,0.326
what is the calorie count in a cookie,calories,calories,3.466
what's the caloric content of an apple,calories,calories,0.377
calorie count of cheetos,calories,calories,0.41
how many calories should i plan to be in a donut,calories,calories,0.406
what's the number of calories in a pepsi,calories,calories,0.741
how many calories are in a large fry,calories,calories,0.375
can you tell me the calories for the cheeseburger,calories,calories,0.366
tell me the calorie content for an apple,calories,nutrition_info,0.377
how many calories are in cake,calories,calories,0.353
how many calories are in oreos,calories,calories,0.342
how many calories are in a burger,calories,calories,0.341
what about the calories for this chicken salad,calories,calories,0.462
i need to know the calorie content of spaghetti,calories,nutrition_info,0.437
how many calories can i expect to be in fries,calories,calories,0.345
how many calories are in a cookie,calories,calories,0.335
how many calories are in a sandwich,calories,calories,0.339
what is the calorie content of a small bag of lay's potato chips,calories,calories,0.342
what's the expected calorie load of a peanut butter and jelly sandwich,calories,calories,0.396
number of calories in coke,calories,calories,0.402
what number of calories are in a pizza,calories,calories,0.346
what is the calorie content in spaghetti,calories,calories,0.349
how much is alorie intake,calories,calories,0.335
i need to know the calorie count of a bacon cheeseburger,calories,calories,0.428
can you check the amount of calories in a chicken sandwich,calories,calories,0.355
what is the calorie content in potatoes,calories,calories,1.815
hoq many calories does pasta have,calories,calories,0.335
what's the calorie content of cheetos,calories,calories,0.355
do cheetos have a lot of calories,calories,calories,0.341
whats the procedure to cancel it,cancel,cancel,0.343
command cancel,cancel,cancel,0.411
hey ai cancel it now,cancel,cancel,0.415
i want you to cancel the current action,cancel,cancel,0.329
"ai, stop talking",cancel,whisper_mode,0.344
can you cancel,cancel,cancel,0.374
abort it,cancel,cancel,0.332
this process needs to stop,cancel,cancel,0.411
don't continue with what you're doing,cancel,cancel,0.35
stop processing,cancel,cancel,3.414
oops cancel that,cancel,cancel,0.337
please cancel the last input,cancel,cancel,0.452
"stop working on it, i need something else",cancel,cancel,0.357
"what you are doing is not actually helpful, please cancel the action",cancel,cancel,0.343
"that's enough, don't say anymore please",cancel,cancel,0.37
stop talking,cancel,cancel,0.466
stop speaking,cancel,cancel,0.337
stop that,cancel,cancel,0.36
could you stop talking for a second,cancel,whisper_mode,0.348
shhhh,cancel,whisper_mode,0.355
"ai, shut up",cancel,change_volume,0.346
stop,cancel,cancel,0.334
cancel it,cancel,cancel,0.328
"that was a mistake, undo that",cancel,cancel,0.334
just stop talking,cancel,cancel,0.341
stop what you're doing,cancel,cancel,0.355
actually forget that i don't need it,cancel,cancel,0.348
please stop it,cancel,cancel,0.41
can you cancel that,cancel,cancel,0.333
stop please,cancel,cancel,0.368
i wish to cancel my reservation for fred at red robin,cancel_reservation,cancel_reservation,0.433
i need to cancel my dinner reservation,cancel_reservation,cancel_reservation,0.633
can you cancel my reservation tonight for chris at smith and wollensky,cancel_reservation,cancel_reservation,0.418
